"url","name","address","city","cap","region","state","country","latitude","longitude","type"
"https://www.informazione-aziende.it/Azienda_AZIENDA-SPECIALE-SUZZARA-SERVIZI","Azienda Speciale Suzzara Servizi","PIAZZA CASTELLO\, 1\, 46029\, Suzzara\, Mantova","Suzzara",46029,"Mantova","Lombardia","Italia",44.9901,10.74511,1
"https://www.informazione-aziende.it/Azienda_SANITAS-SERIATE-SRL","Sanitas Seriate S.r.l.","PIAZZA ALEBARDI\, 1\, 24068\, Seriate\, Bergamo","Seriate",24068,"Bergamo","Lombardia","Italia",45.68538,9.72113,1
"https://www.informazione-aziende.it/Azienda_AZIENDA-SPECIALE-PLURISERVIZI-DI-MAGNAGO-ASPM","Azienda Speciale Pluriservizi Di Magnago - A.s.p.m.","VIA SARDEGNA\, 1\, 20020\, Magnago\, Milano","Magnago",20020,"Milano","Lombardia","Italia",45.5771,8.81813,1
"https://www.informazione-aziende.it/Azienda_AZIENDA-SPECIALE-SERVIZI-PUBBLICI","\"azienda Speciale Servizi Pubblici\"","PIAZZA GIUSEPPE MAZZINI\, 13\, 21010\, Cardano Al Campo\, Varese","Cardano Al Campo",21010,"Varese","Lombardia","Italia",45.6447,8.772,1
"https://www.informazione-aziende.it/Azienda_ANTICA-FARMACIA-LONATE-SRL","Antica Farmacia Lonate S.r.l.","VIA DUCA DEGLI ABRUZZI\, 166\, 21100\, Varese\, Varese","Varese",21100,"Varese","Lombardia","Italia",45.81626,8.76087,1
"https://www.informazione-aziende.it/Azienda_FARMACIA-CORTI-SRL","Farmacia Corti S.r.l.","VIA NAZIONALE\, 1104\, 23025\, Novate Mezzola\, Sondrio","Novate Mezzola",23025,"Sondrio","Lombardia","Italia",46.21204,9.44872,1
"https://www.informazione-aziende.it/Azienda_FARMACIA-LODOLA-DOTT-F-E-G-SRL","Farmacia Lodola Dott. F. E G. S.r.l.","VIA ROMA\, 59\, 27010\, Siziano\, Pavia","Siziano",27010,"Pavia","Lombardia","Italia",45.31916,9.20034,1
"https://www.informazione-aziende.it/Azienda_FARMACIA-FOPPOLI-SRL","Farmacia Foppoli Srl","VIA CASA BIANCA\, 3\, 25040\, Esine\, Brescia","Esine",25040,"Brescia","Lombardia","Italia",45.90504,10.22264,1
"https://www.informazione-aziende.it/Azienda_AAF-SRL-9A28B","Aaf S.r.l.","VIA MALTA\, 12\, 25124\, Brescia\, Brescia","Brescia",25124,"Brescia","Lombardia","Italia",45.52654,10.21434,1
"https://www.informazione-aziende.it/Azienda_FARMACIA-SANTANTONIO-SRL-9C4CC","Farmacia Sant'antonio S.r.l.","VIA GALASSI\, 7\, 25047\, Darfo Boario Terme\, Brescia","Darfo Boario Terme",25047,"Brescia","Lombardia","Italia",45.89007,10.19006,1
"https://www.informazione-aziende.it/Azienda_FARMACIA-DEL-GENTILINO-SRL","Farmacia Del Gentilino S.r.l.","VIA LAGRANGE GIUSEPPE\, 2\, 20136\, Milano\, Milano","Milano",20136,"Milano","Lombardia","Italia",45.44891,9.1792,1
